Particle (i),X,Y,,
1,20.0293,7.04138,20,7
2,20.018,6.64894,,
3,19.5108,6.90843,,
4,20.1438,6.89528,,
5,19.8525,6.68947,,
6,20.0006,7.00711,,
7,20.0992,7.00333,,
8,20.0129,6.63624,,
9,20.3944,6.70225,,
10,20.1439,7.33954,,
11,19.9784,7.03228,,
12,19.7295,6.57606,,
13,20.0228,6.39071,,
14,20.0209,6.55994,,
15,20.0246,7.97111,,
16,20.4463,6.81478,,
17,19.7671,7.14649,,
18,20.1208,6.52903,,
19,20.0717,7.1932,,
20,20.2303,7.02128,,
21,20.0048,7.07212,,
22,19.9681,7.11925,,
23,19.8917,6.58612,,
24,19.9571,7.46727,,
25,20.0167,6.92237,,
26,20.2918,6.98696,,
27,20.1294,6.63289,,
28,19.966,6.98583,,
29,20.103,7.05209,,
30,19.9954,6.37052,,